HH,Run Time,Problem Domain,Instance ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SR-RRT-HH,1000,SAT,7,13.0,14.0,14.0,12.0,12.0,10.0,13.0,16.0,14.0,8.0,11.0,12.0,14.0,10.0,12.0
SR-RRT-HH,1000,SAT,11,19.0,18.0,17.0,17.0,16.0,17.0,21.0,20.0,23.0,21.0,14.0,19.0,18.0,18.0,19.0
SR-RRT-HH,30000,SAT,7,6.0,8.0,8.0,5.0,6.0,6.0,7.0,5.0,7.0,6.0,5.0,6.0,7.0,6.0,7.0
SR-RRT-HH,17,SAT,7,105.0,83.0,72.0,74.0,82.0,76.0,55.0,73.0,51.0,69.0,61.0,74.0,76.0,81.0,71.0
SR-RRT-HH,17,SAT,11,114.0,103.0,91.0,92.0,99.0,107.0,70.0,98.0,88.0,85.0,94.0,126.0,91.0,111.0,85.0
SR-RRT-HH,17,SAT,7,105.0,86.0,72.0,79.0,86.0,90.0,74.0,80.0,51.0,69.0,61.0,74.0,76.0,100.0,71.0
SR-RRT-HH,17,SAT,11,125.0,103.0,91.0,105.0,103.0,94.0,90.0,121.0,88.0,90.0,116.0,126.0,91.0,121.0,101.0
SR-RRT-HH,17,SAT,7,105.0,102.0,94.0,79.0,86.0,93.0,77.0,80.0,52.0,75.0,61.0,92.0,76.0,102.0,71.0
SR-RRT-HH,17,SAT,11,114.0,103.0,91.0,110.0,103.0,123.0,101.0,121.0,88.0,90.0,106.0,112.0,91.0,121.0,89.0
SR-RRT-HH,17,SAT,7,105.0,102.0,94.0,79.0,86.0,85.0,64.0,80.0,51.0,75.0,61.0,74.0,76.0,102.0,71.0
SR-RRT-HH,17,SAT,11,125.0,105.0,91.0,95.0,103.0,120.0,90.0,121.0,88.0,96.0,127.0,110.0,91.0,121.0,114.0
